Date,Land Area,Price per m2,Price Total,Subdistrict,Regency,Land Area Category
2024-04-25,50.0,7000000.0,350000000.0,Denpasar Utara,Denpasar,small
2024-02-29,5200.0,1300000.0,6760000000.0,Ubud,Gianyar,large
2024-04-25,200.0,9000000.0,1800000000.0,Canggu,Badung,small
2024-02-29,2500.0,4250000.0,10625000000.0,Canggu,Badung,large
2024-02-29,2225.0,2696629.213483146,6000000000.0,Ubud,Gianyar,large
2024-04-08,200.0,2750000.0,550000000.0,Panji,Buleleng,small
2024-04-08,1200.0,4000000.0,4800000000.0,Ubud,Gianyar,medium
2024-02-29,200.0,8000000.0,1600000000.0,Umalas,Badung,small
2024-03-30,566.0,14000000.0,7924000000.0,Umalas,Badung,medium
2024-04-25,100.0,1600000.0,160000000.0,Marga,Tabanan,small
2024-04-25,400.0,5000000.0,2000000000.0,Ungasan,Badung,medium
2024-04-25,855.0,6250000.0,5343750000.0,Ubung,Denpasar,medium
2024-04-25,80.0,1375000.0,110000000.0,Selemadeg,Tabanan,small
2024-04-25,100.0,3000000.0,300000000.0,Delodpeken,Tabanan,small
2024-04-25,100.0,2600000.0,260000000.0,Kediri,Tabanan,small
2024-04-25,275.0,1400000.0,385000000.0,Subamia,Tabanan,small
2024-04-15,243.0,10500000.0,2551500000.0,Sanur,Denpasar,small
2024-04-25,200.0,1300000.0,260000000.0,Kerambitan,Tabanan,small
2024-04-25,595.0,5890000.0,3504550000.0,Ketewel,Gianyar,medium
2024-01-30,400.0,6900000.0,2760000000.0,Ungasan,Badung,medium
2024-03-30,200.0,4400000.0,880000000.0,Nusa Dua,Badung,small
2024-04-25,3482.0,347501.4359563469,1210000000.0,Pelaga,Badung,large
2024-04-25,150.0,6000000.0,900000000.0,Angantaka,Badung,small
2024-04-25,1000.0,10000000.0,10000000000.0,Jimbaran,Badung,medium
2024-04-25,600.0,5500000.0,3300000000.0,Ungasan,Badung,medium
2024-04-25,200.0,3750000.0,750000000.0,Nusa Dua,Badung,small
2024-04-25,1005.0,16500000.0,16582500000.0,Pererenan,Badung,medium
2024-01-30,3000.0,1500000.0,4500000000.0,Tejakula,Buleleng,large
2023-12-31,600.0,6000000.0,3600000000.0,Pecatu,Badung,medium
2024-02-29,3160.0,2531645.569620253,8000000000.0,Singaraja,Buleleng,large
2024-04-25,264.0,5500000.0,1452000000.0,Jimbaran,Badung,small
2024-04-25,3925.0,2499363.0573248407,9810000000.0,Kuwum,Tabanan,large
2024-04-25,240.0,4950000.0,1188000000.0,Jimbaran,Badung,small
